TEXT,LANG
— Haꞌe gui tyvy oĩa py ju tuu oo vy haꞌekue rami ae ijayvu. Haꞌe rã haꞌe vaꞌe ma aipoeꞌi: “Xee ndaa reguai” heꞌi rire ndaꞌevei nho vy oo.,guarani
"Niptinmi Simon: “Taytáy, tutay-walächi maynu ashiyalcalpis, manam nï juctapis talipäcüchu. Má, canan am mandamaptiqui'a jitaycuśhäri” nin.",urubu-kaapor
Aꞌeramũ Jejui ꞌga ꞌjau ꞌgã nupe: —Nepeporogytai tãmẽjẽ Jarejuwarete ꞌga upe pejejemogyau. Aꞌe are nepẽfuakariꞌi nanuara apou. Aꞌeramũ ꞌã pẽẽ aꞌeramũ ꞌga pirewara peꞌaarũmeꞌem ꞌga wi— ꞌjau ꞌga ꞌgã nupe.,kayabi
Rasunpa sumä cuyacü caśhayquim cushiycachiman jawcayaycachiman. Am-laycumari chalapacü-masinchiccunap śhun'uncuna achicalcüśha cayan.,urubu-kaapor
Ñatac chalapacü-masinchic Apolosta juc chalapacü-masinchiccunawan cusca watucaycälishunayquipä ćhuncay-ćhuncaymi nilá. Niyaptïpis cananpä manamá śhamuyta munalachu; śhamunan üra ćhämuptinläshi śhamun'a.,urubu-kaapor
"Ñatac Jesusninchicman imam chalapaculcänallayquipächu manam ćhulaycälishulanqui, sinu'a pay-laycu ñacapäcunayquipäwantacmi.",urubu-kaapor
Ruxetòena‑di aõkõ inyõ rurure Moisesi bede ywina riywinyõreki. Itxeredu inatxi ada inataõ‑di aõbo raryberenykemy. Tai rirubunyre.,karaja
"Kia tahe jikarỹ rekeryre, Mesia kanakre, Deuxu dekòdỹkỹnamy wahe, Kristu inire. Tiki kanakreku wahe, ibutumy inydekereny anona anonamy relykykre.",karaja
"Aꞌeramũ Pedro ꞌga ꞌjau ꞌga upe: —Jejui ꞌga ene majaruete, ki Eneiasi. Ere efuꞌama, ekama nuga gatu— ꞌjau Pedro ꞌga Eneiasi ꞌga upe. Aꞌerauwe Eneiasi ꞌga afuꞌama.",kayabi
Aꞌeramũ Moisesi ꞌga ojemuꞌjau Egitu ywy pe ꞌgã nemikwaaw are. Aꞌjeteetewi te ꞌga porogytai. Oporowyky esage te ꞌga— ꞌjau Estevão ꞌga uꞌama ꞌga momeꞌwau ꞌgã nupe.,kayabi
Bernabëñatacmi ichá puydï yaćhapacücunäman puśhalcul: “Damascocta liyaptinshi caminućhu Jesusninchic licalilcul imaymanacta nila. Chayshi imactapis mana manchalil Damascoćhu Jesuspi callpawan willacula” nin.,urubu-kaapor
"Muku agawewi je rekoi pẽ nui. Aꞌetea je tejeaꞌaramũ tekou pẽ nee. Aꞌeramũ je pẽẽ ꞌgã ꞌme rerowiara futareꞌema. Jejui ꞌga ree pejemogypyyga te je muoryp. Majepei ꞌyweteewara ꞌjawe nanẽ pejemogya nũ, Kristu ꞌga pẽẽ erowiara. Mĩmera je muoryp je mogou.",kayabi
Tahe Jesuisi rierytyhymy aõmybo tuu raryberenyrerimy: —Aõherekibo kaiboho ibinamy tarybetenyteri hãwyy‑ò. Aõwidỹỹnana wihikỹ wadee riwinyreri.,karaja
"Usó yákoyenoe kétaraki koêkuti simópiti yóvokuke, ákoti kepahákapa.",terena
