TEXT,LANG
"Tãtamorepase toto Jezu apoiry poko Morarame asakoro ẽmepyry se ro kynexine Paxikoa ritohme otuhtoh konõto, wyi pipahmã ritohme roropa. Moroto Jezu apoiry se toh kynexine Ritonõpo maro oturuketõ tuisary tomo, Moeze omihpyry warõkomo, enara. Omatome apoiry se toh kynexine repe, etapatohme repe. Ynara tykase toto oxime, —Otuhtohtao Jezu anapoipyra sehtone ahno tuhke exiryke. Otarãme kyzehno xine exĩko toh mana, tykase toto.",apalai
Morarame tapyi tao ahtao ipoetory tõ tõturupose ropa moro poko.,apalai
"Atakorõme matose toehse Kyrixtu maro, oetuarimarykõke. Naeroro atãkyematoko. Imeĩpo tuisamehxo toehtoh enepõko Kyrixtu kyya xine mana. Morara ahtao tãkye kuhse exĩko matose imaro.",apalai
"Omi rypyry poko pyra ehtoko, popyra exiryke. Ajoajohpe pyra ehtoko. Imehnõ rypyry poko oturunohtao popyra mana ipunaka. Yrome Ritonõpo a, “Kure mase,” kahtoko. Morara kary oya xine kure mana.",apalai
"Ritonõpo zuzenu nekarory poko Wekyry tomo, ynara matose, “Oty ekarõko Ritonõpo zuzenu nae kyya xihne?” matose pape poko. Naeroro Zuzenu kurã nekarory tõ poko ourutorỹko ase, zae zuaro oehtohkõme.",apalai
Imepỹ tyekyry pyno pyra ahtao typoenõ nymyry pyno pyra ahtao Ritonõpo omipona pyra mana. Onenetupuhpỹ motye popyra mana tuaro toexiryke repe yrome aomipona pyra mana.,apalai
"Jezu enetupuhnõko matose. Naeroro oya xine topu typyne exikety sã mana. Yrome onenetupuhpynomo a arypyra, ise pyra toexirykõke. Moro poko ynara tymerose Ritonõpo omiryme, “Tapyi rinanomo a moro topu ipapyhpyry rokẽ kynexine, popyra exiryke eya xine. Yrome moro topu kure exikety kynexine jamihme tapyi ritohme exiryke,” me tymerose.",apalai
"Mame ynara tykase Peturu eya xine, —Juãnohnõko Ritonõpo mana ajohpe jahtao. Mokyro waro pyra sãtã ase, tykase. Mame morara karyhtao ro kuratiri totase eya.",apalai
Yrome Jezu ezukuru waro pyra toh kynexine emero porehme. Morara exiryke tõturuporykõ se pyra toehse toto.,apalai
"Ynara tykase Jezu, —Jamoreme rokẽ ase ime jehtoh onekaropyra. Yrome Papa kapuaõ rokẽ mã ime jehtoh ekarõko ya. “Kyrihpõkõ mokyro,” ãko matose repe.",apalai
"Morarame ynara tykase Jezu eya xine, —Otara ahtao jenetupuhnõko matou? Amaro xine ase repe ãmorepatorỹko. Okynã amaro xine ywy repe. Yrome jomiry onenetupuhpyra ro amarokomo. Omũkuru enehta xiaro yneneryme, tykase Jezu eya xine.",apalai
"Mame ynara tykase João, —Okomino imepỹ oehnõko mana. Orẽpyra mokyro mana. Imehxo mokyro mana. Ihxitapãnõko ase eponaro toehse jahtao, isãtajã poko jahtao roropa.",apalai
"Mame ynara tykase Ximão, —Otarãme mokyro, tuhkehxo tineru apoihpono. Mokyro tosẽ sehxo mana, tykase Ximão. Ynara tykase Jezu eya, —Zae mase morara karyke oya.",apalai
"Morarame Pauru a sajẽtu tykohmase tyya. —Mose nuasemã arota auturutohme koroneu a, tykase ynororo.",apalai
"Eria kysã xine ahnome pake. Mame tõturuse ynororo yronymyryme Ritonõpo a. Ynara tykase ynororo, “Konopo onenehpopyra exiko,” tykase. Mame tonehpokehse Ritonõpo a. Oseruao jeimamyry zokonaka konopo oehpyra toehse. Morarame tõturuse ropa konopo oehtohme ropa. Mame konopo tonehpose ropa Ritonõpo a aomi poe. Ona tukurãkase ropa. Otyro tõkehko tahtase ropa.",apalai
"—Ywy ase Kyrixtu, Ritonõpo nymenekahpyry, amaro oturukety, tykase Jezu nohpo a.",apalai
"Mame tyryrykane eneryhtao ikurenaino, ynara ãko matose, “To! Moro esahpyo ke onãkutanohto mana zũ karyke,” ãko matose. Moromeĩpo xixi jetũ exĩko mã rahkene.",apalai
"Mame tõsenuruhkase toto, morotaõkõ emero. Ynara tykase toto oseya, —Otãto puhko keh mose omiry nae? Joroko tõ tũtanohpõko ropa nae, tõmiry ke rokene. Orẽpyra toexiryke, aomiry jamihme nase, tykase toto.",apalai
"—Ymarõkõme pyra awahtao xine, yzehno matose, jakorehmara awahtao xine roropa, jakorekehkãko matose, tykase Jezu eya xine.",apalai
"Yrome imehnõ zupõ eneryke oya xine, “Popyra mokyro,” ãko matose. Oty katohme? Morara awahtao xine popyra matose ipunaka Ritonõpo a. Iirypyryme ro matose Ritonõpo mã awãnohtorỹko mana tõmipona pyra oexirykõke.",apalai
"Naeroro Ritonõpo a ehmaropa oturuse, tukurãkase kuexirykõke eya. Torẽtyke pyra sehtone. Onenetupuhkehpyra roropa sehtone eya kuytorykohtao. Osenekunohpopyra sehtone. Moeze a emero tysapararahmase munu ke Ritonõpo tapyĩtaõkomo. Moro saaro Kyrixtu toorihse exiryke tukurikase sã kukurohtao xine mana. Popyra kuehtopõpyrykõ tykorokase roropa eya mana. Tuzenu tokarose roropa kyya xine ikurikatyã sã kuehtohkõme tuna ke.",apalai
"Mame mokyro kuranõpokara eneryke tyya xine toto maro, “Ajohpe matose,” kara toto.",apalai
"Wekyry tomo, Kuesẽkõ oepyry ropa eraximãko sytatose. Naeroro kure rokẽ ehtoko. Oorypyrykõ poko pyra ehtoko Ritonõpo omipona ehtoko kokoro rokene. Morara awahtao xine iirypyryme pyra matose exĩko eya. Osepeme exĩko matose imaro.",apalai
"Imehnõ nohpo poko ehtoh poko —Moeze omihpyry ynara ãko, “Imehnõ nohpory poko pyra ehtoko. Imehnõ nio tõ poko pyra ehtoko,” ãko. Moro tymeropose Ritonõpo a pake.",apalai
"Imehxo exĩko mokyro mana. Ywy ime hkopyra exĩko ase. Poremãnõko sã ase. Yrome tãkye ro ase, tykase  typoetory tomo a.",apalai
"Ywy ase, Terexiu, sero pape merone. Ywy roropa, “Kure pãna matou?” kary se ase oya xine, Jezu poetory tomo. Sero tapyi esẽ roropa Kaju, “Kure pãna matou?” kary se roropa mana. Itapyĩ tao Jezu poetory tõ mã oximõnõko. Eraxitu roropa. Sero pata tinerũ eraseme ynororo. “Kure pãna matou?” kary se ynororo oya xine. Kuatu roropa morara kary se roropa oya xine.",apalai
"Mame ynara tykase ynororo kurãkara a, —Oemary itopohmako, tykase. Mame tomary tytopohmase kurãkara a. Axĩ kure toehse ropa osetato ro.",apalai
"Poeto kurãkatopõpyry ropa Jezu a Morarame tyhtose ropa tahtao, typoetory tõ maro, imoihmãkõ tonese. Moeze omihpyry warõkõ maro oseosezuhnõko toh kynexine. Mame Jezu tonese tyya xine ahtao tãtãkyemase toto imoihmãkomo. Eya toytose toto axiny, aomikase.",apalai
"Mame ynara tykase toto eya, —Etako pahne tuisa, mokyro onekunohto nexiase. Orihpyra ro tahtao ynara nase ynanetaryme, “Oseruao tõmehse ahtao ẽsemãnõko ropa ase,” nase ynororo ynanetaryme.",apalai
"Mame yna etuarimatoh pitiko rokẽ mana, axĩtao rokẽ roropa mana. Yrome toetuarimakehse yna ahtao kurãme exĩko ropa ynanase, tuisame roropa exĩko ynanase jũme. Yna etuarimatoh motye kuhse yna epehpyry exĩko mana.",apalai
"Mame aytorykõ ropahtao, Pauru tõ tokahmase jekyry tomo a, imehnomo a roropa juteu tõme aehtyamo a. Mokaro turuse Pauru tomo a Panape maro, jũme Ritonõpo omipona toto ehtohme. Tãkye tyripose toto eya xine.",apalai
"Jairu ẽxiry ẽsemãkatopõpyry ropa Jezu a Morara karyrohtao Jairu tapyĩ tae tooehse toto. —Oẽxiry norihno. Amorepatõ onerekohmara exiko, tykase toto aorikyhpyry zumy a.",apalai
"Mame koroneu ynara tykase Pauru a, —Tuhke tineru ekaroase kowenu a romanome jehtohme, tykase ynororo. —Yrome ywy romanome jenurune, papa romanome exiryke, tykase Pauru eya.",apalai
"Ritonõpo zuzenu roropa kutuarõtanohtorỹko sero poko mana. Ynara ãko ynororo osemazuhme, “Imeĩpo jomiry kasenato ekarõko ase ypoetory tomo a. Jomiry merõko ase toto kurohtao zuaro toto ehtohme. Toto eano pona imerõko ase jomipona se toto ehtohme,” ãko.",apalai
Ritonõpo nymenekahpyry poko typoetoryme Mame moro poko Jezu tutuarõtase tahtao toytose morotoino imepỹ pona. Mame imoihmãkõ imaro toytose. Mame kurãkõkara tukurãkase ropa eya. Emero porehme tukurãkase ropa eya toto.,apalai
Serohne poko yna etuarimatoh poko kehko torẽtyke pyra ynanase. Morohne enẽko sytatose. Yrome Ritonõpo nekarohpyry poko sytatose enetupuhnõko. Morohne onenepyra ro kuenurukõ mana. Kynenehpyrykõ axĩtao rokẽ mana. Yrome osenepyra aexityã jũme exikehpyra mana.,apalai
"Yna a ãmorepatopõpyrykõ rumekaryhtao oya xine ahno rokẽ kara rumekãko matose. Ritonõpo rumekãko roropa matose, Tuzenu kurã ekarone rumekãko.",apalai
"Ritonõpo enetuputyryke Aparão a toemũkuase tãhpome tahtao ro. Ipyty roropa Sara kunumixime toehse ahtao, kynemũkuane, zae Ritonõpo omihpyry ehtoh tonetupuhse eya exiryke. Orihsasaka Aparão kynexine repe. Yrome tuhkãkõ tamurume toehse ynororo. Ipakõ tuhke toehse, xirikuato tuhke exiry sã kapu ao, isawã tuhke exiry sã roropa tuna konõto ehpio.",apalai
"Morarame Jezu tokãtose eya xine Juteu tõ patary punero, imehnõ patapõkõ punero, enara.",apalai
"Zae rokẽ exiketõ Jezu poetory amorepaneme tyriko, toiro typye exiketõ rokene, Jezu enetupuhnanõ ke typoenõke rokene. Ajoajohpe pyra typoenõke exiketõ tyriko, tumykõ omipona typoenõke roropa.",apalai
"—Ritonõpo omiry onenepyra ro matou? Meneatose ro. Ynara tymerose eya, “Tapyi rinanõ nurumekahpyry, ‘Wewe popyra,’ karyke eya xine, mororo tyrise ropa tapyi nikapuru apoihtyme, kure exiryke tũpore, jamihme tapyi ehtohme. Ritonõpo nyrihpyry moro. Kure mana. Kyzamaro xine mana,” me tymerose Ritonõpo omiryme, tykase Jezu eya xine.",apalai
"Morarame kure Ritonõpo omiry ekaronanõ riryhtao oya xine, Ritonõpo poetoryme toto exiryke kure oritorỹko roropa Ritonõpo mana, kure toto riryke oya xine. Zae exiketõ kure riryhtao oya xine, zae toto exiryke, kure oritorỹko roropa Ritonõpo mana.",apalai
Tãkye exiketõ maro awahtao xine atãkyematoko. Xitaketõ maro awahtao xine toto maro oxitatoko.,apalai
"Kypenetatopõpyrykõ xihpyry poko kuahtao xine, kyyrypyrykõ poko ehse kymarokomo. Mame, “Morohne poko pyra ehtoko,” karyke Ritonõpo a, tynymeropohpyryae, itamurumehxo kyyrypyrykõ poko se sexiatose. Yrome kyyrypyrykõ onurumekara kuahtao xine ameke rokẽ exĩko sytatose Ritonõpo a toorihse kuahtao xine.",apalai
"Pake josanumasene yzehnotokomo. Josanumary meneatosene. Moro waro matose. Seromaroro, josanumãko ro mã toto. Morararo mã toto, õsanumatorỹko Kyrixtu poetoryme oexirykõke.",apalai
Omi kurã omipona oehtohkõ poko zuaro imehnõ mana emero. Naeroro tãkye ase opoko xine. Kure ehtoh poko zuaro oexirykõ se ase. Yrome iirypyryme ehtoh poko tuaro pyra oexirykõ se ase.,apalai
Okynahkopyra jorihtoh toehse nase. Yrome torẽtyke pyra ase jorikyry poko.,apalai
"Akĩme pyra erohko Ritonõpo omipona oehtohme, “Kure mase,” katohme Ritonõpo a oya. Azahkuru pyra exiko ehxiropyra oehtohme oerokuru poko. Zae rokẽ imehnõ amorepako Ritonõpo omiry poko.",apalai
"Osepyno ehtoko. Jezu enetupuhnanõ roropa pyno ehtoko emero, toto esãme oexirykõke Ritonõpo zuzenu poe. Mokaro mã topekahse Jezu a toorikyry ke.",apalai
"Jamoreme ourupyra xine ase. Papa kapuaõ nekarohpyry rokẽ ekarõko ase oya xine. Inekarohpyry omipona rokẽ awahtao xine orihpyra exĩko matose jũme. Moro waro ase. Morara exiryke Papa nekarohpyry rokẽ ekarõko ase oya xine, tykase Jezu imoihmãkomo a.",apalai
Morotoino Pizitia enatyry tymakuohse Pauru tomo a Panape maro. Etypohpyra toytose toto Pãpiria pona. Morotoino Peje po Ritonõpo omiry tokarose ropa eya xine. Moromeĩpo Ataria nakuataka toytose toto.,apalai
"Ynara tykase Jezu eya xine, —Seromaroro menetupuhtou? Yrome okynã pyra matose epãko oesaka xine. Urumekãko matose oenaroxirykõke. Toiroro exĩko ase. Yrome toiroro nymyry pyra ase. Papa maro ase.",apalai
"Sẽ nase ipuhturu pahne poko sã ahtatohme Morarame imehnõ oehkehpyra ehse Jezu a, imeimehnõ pata tõpõkomo. Morarame imoihme toehse toto ahtao tamorepase toto Jezu a. Ynara tykase ynororo eya xine, enetupuhtohme toto a.",apalai
"Zae omi poko Yrome omoro tyoro, mokaro sã pyra. Zae omi ekaroko Jezu poetory tomo a. Ynara kaxiko eya xine, “Ritonõpo omipona ehtoko,” kaxiko.",apalai
"—Juteu ase, tonuruse ywy Tasu po, Xirixiapõ po. Yrome tuãtanohse ywy sero pata po Jerusarẽ po. Tamorepase ywy Kamarieu a. Zae jamorepane kytamurukõ omihpyry poko. Orẽpyra Ritonõpo omipona jexiry se exiase asã xine.",apalai
"—Otara ãko matou Ritonõpo nymenekahpyry poko? Onoky parỹpyryme nae? tykase ynororo tõturupose eya xine. —Tawi parỹpyryme mana, tykase toto.",apalai
"Otinerũkõ ekaroryhtao oya xine etuarimaketomo a kure matose Ritonõpo poetory akorehmaryke oya xine. Moromeĩpo opokoino xine ynara ãko mã toto, “Papa kapuaono, imehxo mase. Emero motye kure mase,” ãko mã toto Ritonõpo a. Mame omomỹke pyra oexirykõ eneryke tyya xine tuaro exĩko mã toto zae oexirykõ poko, Kyrixtu omipona oexirykõ poko. “Papa kapuaono, kure kuhse mase, Korĩtopõkomo a yna akorehmaryke, imehnõ akorehmaryke roropa, enara,” ãko mã toto Ritonõpo a.",apalai
Epereu tõ Neneryme Imerohpyry sero Ritonõpo mũkuru poko Pake Ritonõpo kynoturune kytamurukomo a urutõkõ ae. Tuhke rokẽ kynoturune. Urutõkõ osenetupuhtoh ae kynoturune. Aosenehtohkõ ae roropa kynoturune eya xine.,apalai
Morarame tõtururukõme Koneriu maro tomõse ynororo tapyi taka. Tuhke ahno tonese eya moro tao.,apalai
"Torẽtyke awahtao xine oorikyrykõ poko, orihnõko ro matose. Oorikyrykõ se pyra matose repe, yrome orihnõko ro matose. Naeroro oty katohme pyra mã torẽtyke exino.",apalai
Yrome typyty maro pyra kynexine aporo aenururu ponãmero. Mame tonuruse ahtao Jezume tosehpase eya.,apalai
"Yrome Kyrixtu zuno ehtoko okurohtao xine. Oesẽkõme enetupuhtoko. Aomipona ehtoko roropa. Mame ynara karyhtao imehnomo a oya xine, “Oty katoh Jezu enetupuhnõko mah?” karyhtao oya xine ehxiropyra ehtoko. Kure rokẽ ezuhtoko toto Kyrixtu enetuputyry poko oya xine, kure rokẽ toto ritohme oya xine.",apalai
"Kure jexiry poko se ase repe, yrome kure jexiry waro pyra ase. Naeroro ynara enetupuhnõko ase kure nymyry pyra ase ukurohtao.",apalai
"Aosenepotopõpyry ropa Morarame pakeimo nomĩkoae tõsemãse ropa tahtao Jezu kynosenepone ropa Maria Matarena a. Mokyro jorokohpanõpo kynexine. Pake Jezu a joroko tõ tutũtanohpose ropa zae, 7me.",apalai
"Otarãme ekaropõko matose, “Oty kary moro tõnuhse?” ãko matose otarãme. Ynara mana, osemazuhme Kyrixtu tyhtose aporo, sero nono zopikoxi. Naeroro Kapu ae ayhtohpyryme ynororo. Kapu aka onuhketyme roropa mana. Kapu moinakoxi toytose ynororo. Emero esẽme toehse ynororo, kapuaõkomo, nonopõkomo, enara mã esẽme toehse ynororo.",apalai
"Morarame imepỹ omiry etase kaino kapu ae. Ynara nase, —Sero pata irumekatoko ypoetory tomo. Irumekatoko ipunaka. Mokaro anakorehmara ehtoko iirypyry tõ poko, awãnohpyra xine Ritonõpo ehtohme.",apalai
"Mame isene exikety toiro nexiase Ritonõpo ẽpataka, asakoropane exikety. Eya kasanamã tokarose Ritonõpo nenyohtyamo a 7mãkomo a. Uuru risẽ tokarose eya xine, 7me. Pehme kasanamã nexiase, iirypyrymãkõ zehno Ritonõpo ehtoh ke. Orihpỹme exiketyme Ritonõpo mana jũme.",apalai
"Toto osenetupuhtoh waro Jezu kynexine. Morara exiryke ynara kynako eya xine, —Pata tamurupõkõ oxiehno ahtao atatapoĩko toto. Mame okynã pyra osenahkãko mã toto. Morararo pata pitiko ahtao. Moropõkõ atatapoiryhtao osenahkãko mã toto. Tapyitaõkõ roropa tyekyry zehno ahtao osenahkãko mã toto.",apalai
"Yronymyryme wekyry tomo a Jezu enetupuhpory se ase Ritonõpo a. “Papa kapuaono, ameke kyriko Kyrixtu wino, ise awahtao, jũme jetuarimatohme, wekyry tõ kurãkatamitume,” kary se ase Ritonõpo a repe. Ritonõpo nymenekatyãme mã toto. Typoenõme tyrise toto eya, tuisame imehxo toexiry tonepose roropa eya xine. “Okurãkatorỹko ase,” tykase Ritonõpo eya xine. Tynymeropohpyry tokarose roropa eya xine. Zae Ritonõpo eahmary waro mã toto. Eya xine roropa, “Ynekarory tõ ekarõko ase oya xine,” tykase Ritonõpo.",apalai
Timoteu opyno xine yronymyryme mana ysaaro. Imepỹ pyra mana. Isã exikety pyra mana.,apalai
"Imepỹ Jezu poetory moroto kynexine, Ximão Peturu akorony, esety Ãtare. Ynara tykase ynororo Jezu a, —Poeto napyryme rokẽ enepyhpyry seny, 5me tiriiku panõ risẽ pisarara, kana roropa asakoro. Ise awahtao ekarõko ase oya. Moxiã ke, imoihmãkomo? Oty kehxo moxiã atautuhmãko nah? tykase Ãtare.",apalai
"Mame ynara tykase Jezu eya xine, —Tuaro ehtoko. Pou porutatoh sã parixeu tõ namorepary tõ mana, satuseu tõ namorepary tõ roropa, tykase.",apalai
"Morarame Jezu eneryke tyya, moe ahtao ro tururume toytose ynororo eya. Tosekumuru po typorohse ynororo Jezu ẽpataka.",apalai
"Morarame toytose ropa Jezu oturuse ropa Tumy maro, —Jorikyry se awahtao õmipona se rokẽ ase, tykase ynororo.",apalai
"Naeroro ise pyra jehtoh poko ro jahtao, ypoe pyra ase yyrypyry poko. Yyrypyry poko ase iirypyryme jexiryke ukurohtao.",apalai
"Konohno, opyno ase. Naeroro iirypyrymãkõ osypoenohno, kurãkõ rokẽ ipoenohko. Kure imehnõ rinanõ Ritonõpo poetoryme mã toto. Yrome tyyrypyry poko exiketõ Ritonõpo onenetupuhpitopyra mã toto.",apalai
"Mame mokaro a tõturupose Pauru. Ynara tykase ynororo eya xine, —Ritonõpo a Tuzenu tokarose oya xihne, Jezu enetuputyryhtao oya xihne? tykase Pauru toto a tõturupose. —Kũ. Tuaro pyra reh ynanahse Ritonõpo zuzenu poko, tykase toto tozuhse Pauru. —Onoky omi poe tõpurihkase matou? tykase Pauru eya xine. — namorepatopõpyry poe rokẽ tõpurihkase yna, tykase toto. Ynara tykase Pauru eya xine, — omi poe tõpurihkase awahtao xine kure repe, oorypyrykõ turumekase oya xine ahtao. Yrome ynara tykase  tuhkãkomo a, “Okomino imepỹ oehnõko mana Ritonõpo mũkuru. Mokyro enetupuhtoko oesẽkõme,” tykase João, Jezu poko, tykase Pauru eya xine. Morarame morara etaryke tyya xine tõsẽpurihkapose ropa toto eya, Jezu Kyrixtu enetuputyryke tyya xine. Morarame toto zupuhpyry pona Pauru a tomary tyrise ahtao, tomõse Ritonõpo zuzenu toto kurohtaka. Tyotyorõkõ omiryae tõturuse toto Ritonõpo zuzenu poe. Ritonõpo omiry poko roropa tõturuse toto. Morotõkõ tuhke hkopyra kynexine, 12me orutua komo.",apalai
"Naeroro pake Ritonõpo tõsenetupuhse kukurãkaporykõ poko Tumũkuru a, juteu tomo, juteutõkara, enara. Moro poko enetupuhpõko ase emero ahno a. Emero ritõme mã Ritonõpo. Tõsenetupuhtopõpyry onumakara kynexine aporo.",apalai
"Etatoko pahne, yronymyryme opyno xine ase, opyno xine Jezu Kyrixtu ehtoh samo. Opyno xine ase tamorepase jexiryke eya opyno xine jehtoh poko. Ajohpe pyra ase morara kary poko ya. Juaro Ritonõpo mana.",apalai
"Epohnohpyra ehtoko oorypyrykõ poko, oexirykõ poko. “Yyrypyry poko ehxi,” kara ehtoko. Iirypyryme oehtohkõ poko penetara ehtoko. Oorypyrykõ poko pyra ehtoko ipunaka.",apalai
Akĩme exiketõ sã pyra ehtoko. Jezu onenetupuhkehpyra ehtoko. Penekehpyra ehtoko roropa openetatohkõ eraximary poko oya xine. Mame Ritonõpo nekarory kurã apoĩko matose.,apalai
"Yrome Meukizeteke Rewi parỹpyry kara kynexine. Rewi parỹpyryme pyra tahtao ro Aparão napiakahpyry apoine. Aparão mokyro, “Kure orĩko ase,” katopõpyry etahpõ Ritonõpo a. Eya, “Kure orĩko Ritonõpo mana. Morara kure ya,” tykase Meukizeteke.",apalai
"Pake Ritonõpo zehno ehse kymarokõ repe. Yrome tope tome kyriatose Tumũkuru orikyry ke. Seromaroro Kyrixtu tõsemãse ropa exiryke kyjamihtanohtorỹko mana, tõmipona kuehtohkõme, jũme orihpỹme toexiryke.",apalai
"Yrome morotõkõ osa ekarory se pyra Jezu a toh kynexine Jerusarẽ pona aytory eneryke tyya xine. Mame moro tokarose ropa Jezu a, nyhtoh onekaropyra toto ehtopõpyry.",apalai
"Yrome kure imehnõ rihpõkomo a, “Kure mase,” ãko eya xine mana. Kure toto rĩko Ritonõpo mana. Torẽtyke pyra toto rĩko roropa mana, juteu tõ osemazuhme. Mame juteutõkara roropa. Zae rokẽ Ritonõpo kuepehmatorỹko mana juteu tomo, juteutõkara, enara.",apalai
Morarame toytorykohtao tuna pona toeporehkase toto. —Tunahxo mony. Jẽpurihkary se pyra hma? tykase mokyro Etiopiapõ Firipe a.,apalai
"Mokyro onokyroimo isene kynexine aporo. Yrome toorihse ropa ynororo. Mame okynã pyra onuhnõko ropa mana amerehmã ae. Ytoytõko ropa mana. Imeĩpo Ritonõpo enahkapõko mana. Yrome aytorykohtao ro sero nono po ro osenuruhkãko enenanõ mana. Jezu poetory tõ kara osenuruhkãko mana. Esetykõ pyra mã Ritonõpo papẽ poko, typapẽ po onymeropyra Ritonõpo exiryke pake, sero nono riryhtao, orihpỹme exiketõ esetykõ maro. Osenuruhkãko mokaro mana onokyroimo eneryke tyya xine. Isene ehxĩpo toorihse ropa ynororo. Yrome ẽsemãnõko ropa mana.",apalai
"Morarame okynã pitiko ahtao imepỹ roropa orẽpyra tõturuse Peturu maro. —Ajohpe pyra. Jezu maronõpome mase, Karireapõme oexiryke, tykase.",apalai
Hãmri nhũm mẽ kot mar o kuhê xwỳnhjaja amnhĩ jaêr pê kot mẽ ahkreja ma.,apinaye
Nom nhũm Jejus mẽ hamaxpẽr kôt mẽ omunh mex nẽ. Mẽ kot Tĩrtũm pix kot mẽ nê mẽ kot amnhĩ tomnuj rênh nẽ akupỹm mẽ à xwỳnhjê ho mex kôt mẽ hamaxpẽrja nhũm mẽ omunh mex nẽ mẽ kãm: —Kwa mẽ ã ajamaxpẽr anhỹr kêt nẽ. Ixte mẽ nê mẽ kot amnhĩ tomnuj o ijapêx par ã amnhĩ jarẽnh tã mẽ ate mẽ ano ho ja kôt ixpumunh kêt jakamã na ka htem ja hã ixkôt ajamaxpẽr kêt nẽ. Nom kot paj mẽ anoo mã akupỹm myja o mex. Ka mẽ ja hã ixpumu hãmri nẽ ixkôt ajamaxpẽr kurê kumrẽx. Ixpê Tĩrtũm kot mẽ awỳr inhmẽnh xwỳnh na pa. Ixte mẽ anê mẽ ate amnhĩ tomnuj rênh kaxyw na pre mẽ awỳr inhmẽ pa wrỳ. Tã mẽ ate ja kôt ixpumunh kaxyw kot paj mẽ anoo mã mytija ho mex.,apinaye
E ixkwỳjaja. Kot kaj mẽ amã ixkapẽr mar prãm hã kot kaj mẽ ã Tĩrtũm mẽ wa Ixkarõ nhỹ hã ixte mẽ amã ixkapẽr anhỹrja ma nẽ kãm ajamaxpẽr tỳx rãhã ho ri apa. Tã ãm ja pix. Na hapêx. Anẽ. —E Juãw. Kêr ka Raxisej kamã ixkrajê mã ixkapẽr ã kagà nẽ mẽ hwỳr amẽ. Nẽ kagàja piitã krĩ hkwỳ kamã ahpỹnhã ixkwỳjê hwỳr arẽ kê mẽ kamã harẽ nẽ ixkapẽr ma. Anẽ. Nhũm pre ã Jejus inhmã kapẽr anẽ. Pa kuma nẽ ô ri mẽ piitã mẽ kãm hã kagà hpa.,apinaye
